year,quarter,quarter_qf,nhs_health_board,hbqf,location,location_qf,specialty,specialty_qf,specialty_name,specialty_name_qf,all_staffed_beddays,all_staffed_beddays_qf,total_occupied_beddays,total_occupied_beddays_qf,average_available_staffed_beds,average_available_staffed_beds_qf,average_occupied_beds,average_occupied_beds_qf,percentage_occupancy,percentage_occupancy_qf,three_yr_avg
2017,Q3,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,NA,NA,NA,All Acute,d,15426,NA,11658,NA,167.67391304347825,NA,126.71739130434784,NA,75.57370672889927,NA,17_19_avg
2017,Q3,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,d,NA,NA,All Acute,d,15426,NA,11658,NA,167.67391304347825,NA,126.71739130434784,NA,75.57370672889927,NA,17_19_avg
2017,Q4,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,NA,NA,NA,All Acute,d,16159,NA,12434,NA,175.6413043478261,NA,135.15217391304347,NA,76.94783093013181,NA,17_19_avg
2017,Q4,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,d,NA,NA,All Acute,d,16159,NA,12434,NA,175.6413043478261,NA,135.15217391304347,NA,76.94783093013181,NA,17_19_avg
2018,Q1,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,NA,NA,NA,All Acute,d,15681,NA,11871,NA,174.23333333333332,NA,131.9,NA,75.70308016070405,NA,17_19_avg
2018,Q1,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,d,NA,NA,All Acute,d,15681,NA,11871,NA,174.23333333333332,NA,131.9,NA,75.70308016070405,NA,17_19_avg
2018,Q2,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,NA,NA,NA,All Acute,d,15817,NA,12349,NA,173.8131868131868,NA,135.7032967032967,NA,78.0742239362711,NA,17_19_avg
2018,Q2,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,d,NA,NA,All Acute,d,15817,NA,12349,NA,173.8131868131868,NA,135.7032967032967,NA,78.0742239362711,NA,17_19_avg
2018,Q3,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,NA,NA,NA,All Acute,d,15806,NA,12390,NA,171.80434782608697,NA,134.67391304347825,NA,78.38795394154118,NA,17_19_avg
2018,Q3,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,d,NA,NA,All Acute,d,15806,NA,12390,NA,171.80434782608697,NA,134.67391304347825,NA,78.38795394154118,NA,17_19_avg
2018,Q4,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,NA,NA,NA,All Acute,d,14852,NA,11765,NA,161.43478260869566,NA,127.8804347826087,NA,79.21492054942095,NA,17_19_avg
2018,Q4,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,d,NA,NA,All Acute,d,14852,NA,11765,NA,161.43478260869566,NA,127.8804347826087,NA,79.21492054942095,NA,17_19_avg
2019,Q1,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,NA,NA,NA,All Acute,d,14783,NA,11654,NA,164.25555555555556,NA,129.48888888888888,NA,78.83379557599946,NA,17_19_avg
2019,Q1,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,d,NA,NA,All Acute,d,14783,NA,11654,NA,164.25555555555556,NA,129.48888888888888,NA,78.83379557599946,NA,17_19_avg
2019,Q2,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,NA,NA,NA,All Acute,d,14929,NA,11897,NA,164.05494505494505,NA,130.73626373626374,NA,79.69053519994641,NA,17_19_avg
2019,Q2,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,d,NA,NA,All Acute,d,14929,NA,11897,NA,164.05494505494505,NA,130.73626373626374,NA,79.69053519994641,NA,17_19_avg
2019,Q3,NA,Greater Glasgow and Clyde,NA,Golden Jubilee National Hospital,NA,NA,NA,All Acute,d,15392,NA,12067,NA,167.30434782608697,NA,131.16304347826087,NA,78.39786902286902,NA,17_19_avg
